player_id,player,role,role_source,archetype,confidence,n_target,n_eff,xg_target,seasons_used,target_season
1324,Federico Dimarco,DF,understat,left-side defender,0.424,7,53.5,0.76,2425+2526+2627,2627
8204,Neco Williams,DF,understat,left-side defender,0.386,1,33.2,0.24,2425+2526+2627,2627
11402,Carlos Romero,DF,understat,left-side defender,0.571,2,30.2,0.12,2425+2526+2627,2627
419,Maximilian Mittelstädt,DF,understat,left-side defender,0.336,2,22.8,0.05,2425+2526+2627,2627
6500,Romain Perraud,DF,understat,left-side defender,0.537,1,22.5,0.02,2425+2526+2627,2627
9691,Nuno Tavares,DF,understat,left-side defender,0.544,7,22.0,0.54,2425+2526+2627,2627
9961,Nuno Mendes,DF,understat,left-side defender,0.574,0,20.2,0.0,2425+2526,2627
3729,Hassane Kamara,DF,understat,left-side defender,0.648,7,19.2,0.67,2425+2526+2627,2627
2229,Yuri,DF,understat,left-side defender,0.35,3,19.0,0.07,2425+2526+2627,2627
13093,Derrick Köhn,DF,understat,left-side defender,0.635,1,18.2,0.01,2425+2526+2627,2627
11807,Ian Maatsen,DF,understat,left-side defender,0.524,3,17.8,0.11,2425+2526+2627,2627
8214,Tyrick Mitchell,DF,understat,left-side defender,0.323,5,17.5,1.03,2425+2526+2627,2627
10216,Lewis Hall,DF,understat,left-side defender,0.481,2,17.2,0.09,2425+2526+2627,2627
7134,Marc Cucurella,DF,understat,left-side defender,0.001,0,16.0,0.0,2425+2526,2627
8640,Adrien Truffert,DF,understat,left-side defender,0.577,1,14.8,0.02,2425+2526+2627,2627
1245,Emerson,DF,understat,left-side defender,0.572,3,14.5,0.11,2425+2526+2627,2627
8513,Miguel Gutiérrez,DF,understat,left-side defender,0.22,0,14.5,0.0,2425+2526,2627
8122,Sergio Carreira,DF,understat,left-side defender,0.307,3,14.2,0.1,2425+2526+2627,2627
8190,Melvin Bard,DF,understat,left-side defender,0.663,1,14.2,0.02,2425+2526+2627,2627
11744,Sergi Cardona,DF,understat,left-side defender,0.131,0,14.0,0.0,2425+2526,2627
6242,Johan Mojica,DF,understat,left-side defender,0.182,1,13.8,0.02,2425+2526+2627,2627
5136,Estupiñán,DF,understat,left-side defender,0.578,2,13.5,0.06,2425+2526+2627,2627
12822,Álex Valle,DF,understat,left-side defender,0.286,5,12.8,0.18,2425+2526+2627,2627
8733,Alfonso Espino,DF,understat,left-side defender,0.7,0,12.5,0.0,2425+2526,2627
7286,Juan Miranda,DF,understat,left-side defender,0.57,0,12.0,0.0,2425+2526,2627
11087,Pep Chavarría,DF,understat,left-side defender,0.72,0,11.8,0.0,2425+2526,2627
1823,Lucas Digne,DF,understat,left-side defender,0.345,1,11.2,0.02,2425+2526+2627,2627
11709,Milos Kerkez,DF,understat,left-side defender,0.634,2,11.2,0.04,2425+2526+2627,2627
