six,boxc,boxw,z14,deep,hdr,left,right,setp,assisted,xg_shot,role,archetype,n_players
0.104,0.482,0.184,0.114,0.116,0.22,0.136,0.128,0.158,0.787,0.168,FW,box finisher,289
0.053,0.328,0.282,0.136,0.2,0.097,0.132,0.302,0.124,0.771,0.125,FW,right-channel cut-in,99
0.06,0.328,0.281,0.133,0.198,0.099,0.308,0.125,0.129,0.778,0.128,FW,left-channel winger,124
0.054,0.345,0.183,0.19,0.228,0.104,0.17,0.164,0.139,0.728,0.123,FW,edge / second striker,182
0.06,0.33,0.146,0.223,0.242,0.113,0.141,0.153,0.181,0.707,0.111,MF,box arriver,177
0.036,0.233,0.119,0.26,0.352,0.08,0.161,0.158,0.204,0.641,0.08,MF,long-range shooter,155
0.101,0.404,0.126,0.164,0.206,0.251,0.117,0.133,0.288,0.745,0.114,MF,aerial / set-piece,71
0.048,0.254,0.236,0.18,0.282,0.082,0.216,0.212,0.174,0.719,0.095,MF,wide mid,124
0.153,0.519,0.105,0.068,0.155,0.501,0.109,0.084,0.602,0.781,0.11,DF,set-piece header,155
0.11,0.376,0.162,0.104,0.247,0.309,0.126,0.192,0.436,0.72,0.098,DF,right-side defender,68
0.079,0.306,0.204,0.114,0.297,0.23,0.319,0.087,0.364,0.683,0.089,DF,left-side defender,45
